Company,Symbol,Date,TimeOfDay,IR_URL
NORMA Group,NGR,2025-08-14,Vormittag,https://www.normagroup.com/de/investoren/pressemitteilungen/
Adesso SE,ADS,2025-08-15,Früh,https://www.adesso-group.de/de/news/
